id,hip,hd,hr,gl,bf,proper,ra,deg,dec,dist,pmra,pmdec,rv,mag,opacity,linear,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
97338,97649,187642,7557,Gl 768,53Alp Aql,Altair,19.846388,297.69582,8.868322,5.1295,536.82,385.54,-26.1,0.76,0.870404919,1.295950809,2.21,A7IV-V,0.221,2.355468,-4.4873,0.790749,-0.00000112,0.00003087,0.00000536,5.195772106,0.154781417,2.60258E-06,1.86915E-06,Alp,53,Aql,1,97338,,11.37627286,Alp,0.803,0.753
44000,44127,76644,3569,Gl 331A,9Iot UMa,,8.986828,134.80242,48.041826,14.5096,-441.12,-215.21,9,3.12,0.868844982,1.311550176,2.312,A7IV,0.223,-6.835882,6.883318,10.789878,0.00000975,0.00003422,-0.00000328,2.35274611,0.83848805,-2.13861E-06,-1.04337E-06,Iot,9,UMa,1,44000,Gl 331,10.35618977,,,
77716,77952,141891,5897,Gl 601A,Bet TrA,,15.919083,238.786245,-63.430727,12.3778,-188.45,-401.92,0.4,2.83,0.867996062,1.320039378,2.367,F2III,0.315,-2.869157,-4.734869,-11.070637,0.00000141,0.00002415,-0.00001115,4.167606127,-1.107075025,-9.13631E-07,-1.94856E-06,Bet,,TrA,1,77716,Gl 601,9.84464364,,,
67711,67927,121370,5235,Gl 534,8Eta Boo,Mufrid,13.911411,208.671165,18.397717,11.396,-60.95,-358.1,1,2.68,0.86754624,1.324537604,2.396,G0IV,0.58,-9.487671,-5.188142,3.596709,-0.00000795,-0.00000051,-0.00001845,3.641998952,0.321100736,-2.95494E-07,-1.73612E-06,Eta,8,Boo,1,67711,,9.585173977,,,
61748,61941,110379,4825,Gl 482A,29Gam Vir,Porrima,12.694345,190.415175,-1.449375,11.685,-616.66,60.66,-19.9,2.74,0.867452982,1.325470184,2.402,F0V+...,0.368,-11.488622,-2.111702,-0.295552,0.00001361,0.00003802,0.00000395,3.323371774,-0.025296363,-2.98965E-06,2.94088E-07,Gam,29,Vir,1,61748,Gl 482,9.532350439,,,
116361,116727,222404,8974,Gl 903,35Gam Cep,,23.65582,354.8373,77.632276,14.1024,-48.85,127.18,-43.1,3.21,0.866485463,1.335145372,2.464,K1IV,1.031,3.008186,-0.271815,13.774751,-0.00001816,-0.00000171,-0.00004119,6.193079298,1.354938819,-2.36831E-07,6.16586E-07,Gam,35,Cep,1,116361,,9.003264311,,,
107213,107556,207098,8322,Gl 837,49Del Cap,,21.784011,326.760165,-16.127286,11.8666,263.26,-296.23,-6.3,2.85,0.866266015,1.337339848,2.478,A5mF2 (IV),0.18,9.534405,-6.248606,-3.296196,-0.00000083,0.00001865,-0.00001458,5.703040681,-0.281474238,1.27632E-06,-1.43616E-06,Del,49,Cap,1,107213,,8.887917199,Del,2.93,2.82
46720,46853,82328,3775,Gl 354A,25The UMa,,9.547715,143.215725,51.6773,13.4789,-947.06,-535.6,15.3,3.17,0.865573972,1.34426028,2.522,F6IV,0.475,-6.693935,5.005096,10.57472,0.00000729,0.00007181,-0.00000942,2.49958585,0.901939037,-4.59148E-06,-2.59666E-06,The,25,UMa,1,46720,Gl 354,8.534930716,,,
102091,102422,198149,7957,Gl 807,3Eta Cep,,20.754811,311.322165,61.838782,14.2653,86.08,817.89,-86.8,3.41,0.863716294,1.36283706,2.639,K0IV,0.912,4.44524,-5.055924,12.575933,-0.00005612,0.00007285,-0.00005157,5.433596752,1.079290349,4.17328E-07,3.96524E-06,Eta,3,Cep,1,102091,,7.663020723,,,
81444,81693,150680,6212,Gl 635A,40Zet Her,,16.688113,250.321695,31.602726,10.7158,-462.58,345.05,-70.4,2.81,0.863380157,1.366198426,2.66,F9IV,0.65,-3.073152,-8.593139,5.615032,0.00000118,0.00007468,-0.00002246,4.368937794,0.551571613,-2.24265E-06,1.67285E-06,Zet,40,Her,1,81444,Gl 635,7.51622894,,,
37173,37279,61421,2943,Gl 280A,10Alp CMi,Procyon,7.655033,114.825495,5.224993,3.5142,-716.57,-1034.58,-4,0.4,0.863203755,1.367962449,2.671,F5IV-V,0.432,-1.469312,3.17617,0.320024,0.00001212,0.00000289,-0.00001792,2.004083041,0.091193332,-3.47403E-06,-5.01579E-06,Alp,10,CMi,1,37173,Gl 280,7.440463662,,,
28032,28103,40136,2085,Gl 225,16Eta Lep,,5.940082,89.10123,-14.1677,14.8787,-42.23,139.02,-1.4,3.71,0.860350141,1.396498589,2.847,F1V,0.337,0.226289,14.424355,-3.64172,0.00000306,0.00000102,0.00001007,1.555109716,-0.247273015,-2.04737E-07,6.73988E-07,Eta,16,Lep,1,28032,,6.327031549,,,
97725,98036,188512,7602,Gl 771A,60Bet Aql,Alshain,19.921887,298.828305,6.406763,13.6986,46.35,-481.32,-40.7,3.71,0.85737009,1.426299095,3.027,G8IVvar,0.855,6.563854,-11.925647,1.528534,-0.00001553,0.0000346,-0.00003641,5.215537811,0.111819116,2.24711E-07,-2.33351E-06,Bet,60,Aql,1,97725,Gl 771,5.360434578,,,
