id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
113521,113881,217906,8775,,Pegasus,Scheat,23.062901,28.082789,60.0962,187.76,137.61,9,2.44,-1.454,M2II-IIIvar,1.655,51.433435,-12.877612,28.290136,0.00000286,0.00005567,0.0000397,6.037853304,0.490137132,9.10286E-07,6.67152E-07,Bet,53,Peg,1,113521,,332.3533036,Bet,2.584,2.384
104861,105199,203280,8162,Gl 826,Cepheus,Alderamin,21.30963,62.585573,15.0376,149.91,48.27,-11.5,2.45,1.564,A7IV-V,0.257,5.276111,-4.483201,13.348778,0.00000057,0.00001386,-0.00000882,5.578848152,1.092324305,7.26784E-07,2.3402E-07,Alp,5,Cep,1,104861,,20.62528698,,,
102157,102488,197989,7949,Gl 806.1A,Cygnus,Gienah,20.770178,33.970256,22.2916,356.16,330.28,-10.9,2.48,0.739,K0III,1.021,12.262597,-13.834612,12.455654,0.00000944,0.00004737,0.00002337,5.437619819,0.592892816,1.72671E-06,1.60124E-06,Eps,53,Cyg,1,102157,Gl 806.1,44.09608165,,,
113603,113963,218045,8781,,Pegasus,Markab,23.079348,15.205264,40.8831,61.1,-42.56,-4,2.49,-0.568,B9.5III,-0.002,38.311434,-9.417123,10.722722,0.00000121,0.00001217,-0.00000921,6.042159146,0.265381927,2.96221E-07,-2.06337E-07,Alp,54,Peg,1,113603,,146.9602899,,,
14100,14135,18884,911,,Cetus,Menkar,3.037992,4.089734,76.3942,-11.81,-78.76,-26,2.54,-1.875,M2III,1.63,53.342561,54.414384,5.448321,-0.00001399,-0.00002052,-0.00003099,0.795344514,0.071379323,-5.72565E-08,-3.81839E-07,Alp,92,Cet,1,14100,,489.7788194,Alp,2.561,2.521
54712,54872,97603,4357,Gl 419,Delphinus,Zosma,11.235138,20.523717,17.9147,143.31,-130.43,-20.2,2.56,1.294,A4V,0.128,-16.442201,3.337108,6.280742,0.00001259,-0.00001526,-0.00001785,2.941352165,0.358206432,6.94786E-07,-6.32342E-07,Del,68,Leo,1,54712,,26.44843627,,,
76835,77070,140573,5854,Gl 596.2,Serpens,Unukalhai,15.737798,6.425627,22.6757,134.66,44.14,2.7,2.63,0.852,K2III,1.167,-12.5786,-18.695648,2.537718,0.00001105,-0.00001009,0.00000513,4.120145986,0.112148346,6.5285E-07,2.13997E-07,Alp,24,Ser,1,76835,,39.73745051,,,
8884,8903,11636,553,Gl 80,Aries,Sheratan,1.910668,20.808035,17.9856,96.32,-108.8,-4,2.64,1.365,A5V...,0.165,14.752622,8.063457,6.389157,-0.00000443,0.00000715,-0.00001032,0.500211742,0.363168722,4.66973E-07,-5.27477E-07,Bet,6,Ari,1,8884,,24.77422058,,,
28309,28380,40312,2095,,Auriga,,5.995351,37.212585,50.7614,42.09,-73.61,30,2.65,-0.878,A0p Si,-0.083,0.049188,40.426416,30.69934,-0.00001031,0.0000354,0.00000413,1.569579154,0.649482133,2.04058E-07,-3.56871E-07,The,37,Aur,1,28309,,195.523967,The,2.66,2.63
6672,6686,8538,403,,Cassiopeia,Ruchbah,1.430216,60.235283,30.4785,297.24,-49.49,7,2.66,0.24,A5Vv SB,0.16,14.082378,5.53413,26.457567,-0.00000685,0.0000445,0.00000258,0.374429587,1.051304016,1.44106E-06,-2.39934E-07,Del,37,Cas,1,6672,,69.82324041,Del,2.666,2.656
67711,67927,121370,5235,Gl 534,Bootes,Mufrid,13.911411,18.397717,11.396,-60.95,-358.1,1,2.68,2.396,G0IV,0.58,-9.487671,-5.188142,3.596709,-0.00000795,-0.00000051,-0.00001845,3.641998952,0.321100736,-2.95494E-07,-1.73612E-06,Eta,8,Boo,1,67711,,9.585173977,,,
22961,23015,31398,1577,,Auriga,Hassaleh,4.949894,33.16609,151.2859,3.63,-18.54,18,2.69,-3.209,K3IIvar,1.49,34.378539,121.884168,82.763748,0.00000364,0.00002271,-0.00000131,1.295879211,0.578857475,1.75987E-08,-8.98845E-08,Iot,3,Aur,1,22961,,1673.400907,,,
96970,97278,186791,7525,,Aquila,Tarazed,19.770994,10.613261,121.0654,15.72,-3.08,-2,2.72,-2.695,K3II,1.507,53.215608,-106.431852,22.297682,0.0000075,0.00000563,-0.00000215,5.176034186,0.185236351,7.62127E-08,-1.49323E-08,Gam,50,Aql,1,96970,,1042.317429,,,
80089,80331,148387,6132,Gl 624.1A,Draco,,16.39986,61.514213,28.2326,-16.98,56.68,-13.7,2.73,0.476,G8III,0.91,-5.477258,-12.300885,24.814526,0.00000337,0.00001328,-0.00000862,4.293473371,1.073625554,-8.23214E-08,2.74792E-07,Eta,14,Dra,1,80089,Gl 624.1,56.18236281,,,
86475,86742,161096,6603,,Ophiuchus,Cebalrai,17.724543,4.567303,25.0941,-40.67,158.8,-12,2.76,0.762,K2III,1.168,-1.802333,-24.949291,1.998237,-0.00000394,0.00001409,0.00001828,4.640274383,0.079714471,-1.97174E-07,7.69884E-07,Bet,60,Oph,1,86475,,43.17178445,,,
84086,84345,156014,6406,,Hercules,Rasalgethi,17.244127,14.390333,110.2536,-6.71,32.78,-33,2.78,-2.432,M5IIvar,1.164,-20.995512,-104.709944,27.400863,0.00000377,0.00003703,0.00000858,4.514501981,0.251158688,-3.2531E-08,1.58922E-07,Alp-1,64,Her,1,84086,,818.0879579,Alp,2.967,2.567
80571,80816,148856,6148,,Hercules,Kornephoros,16.503668,21.489613,42.6621,-98.43,-14.49,-26,2.78,-0.37,G8III,0.947,-15.155861,-36.689058,15.62843,-0.00000979,0.00002963,-0.00001253,4.320650131,0.375064505,-4.77202E-07,-7.02495E-08,Bet,27,Her,1,80571,,122.4616199,,,
85410,85670,159181,6536,,Draco,Rastaban,17.507213,52.301387,116.5501,-15.59,11.57,-20,2.79,-2.543,G2II,0.954,-9.169333,-70.678899,92.218765,-0.00000646,0.00001867,-0.00001219,4.583377712,0.912831407,-7.55825E-08,5.60929E-08,Bet,23,Dra,1,85410,,906.1498022,,,
81444,81693,150680,6212,Gl 635A,Hercules,,16.688113,31.602726,10.7158,-462.58,345.05,-70.4,2.81,2.66,F9IV,0.65,-3.073152,-8.593139,5.615032,0.00000118,0.00007468,-0.00002246,4.368937794,0.551571613,-2.24265E-06,1.67285E-06,Zet,40,Her,1,81444,Gl 635,7.51622894,,,
1065,1067,886,39,,Pegasus,Algenib,0.220598,15.183596,120.048,4.7,-8.24,4,2.83,-2.567,B2IV,-0.19,115.664183,6.687324,31.442127,0.00000504,0.00000303,-0.00000356,0.057752413,0.26500374,2.27862E-08,-3.99486E-08,Gam,88,Peg,1,1065,,926.4031007,Gam,2.846,2.816
18201,18246,24398,1203,,Perseus,,3.9022,31.883635,230.4147,4.41,-9.15,20,2.84,-3.973,B1Ib,0.271,102.130978,166.878316,121.704179,0.00000768,0.00002199,0.00000213,1.021593644,0.556474416,2.13803E-08,-4.43605E-08,Zet,44,Per,1,18201,,3382.205567,,,
17661,17702,23630,1165,,Taurus,Alcyone,3.79141,24.105137,123.6094,19.35,-43.11,10,2.85,-2.61,B7III,-0.086,61.664507,94.489136,50.483636,0.00000116,0.00002299,-0.0000194,0.992588775,0.420714009,9.38114E-08,-2.09003E-07,Eta,25,Tau,1,17661,,963.8290236,,,
63405,63608,113226,4932,,Virgo,Vindemiatrix,13.036278,10.95915,33.6022,-275.05,19.96,-14,2.85,0.218,G8IIIvar,0.934,-31.782664,-8.840495,6.38806,0.00000213,0.0000471,0.00000047,3.412889543,0.191273257,-1.33348E-06,9.67688E-08,Eps,47,Vir,1,63405,,71.25248248,,,
